subject,item,resp,correct,rt,age,gender,income,edu
1,1,5,1,35453,30,Male,50000-74999,BachelorDegree
1,2,1,1,29432,30,Male,50000-74999,BachelorDegree
1,3,1,0,2649,30,Male,50000-74999,BachelorDegree
1,4,4,1,23472,30,Male,50000-74999,BachelorDegree
1,5,3,1,20867,30,Male,50000-74999,BachelorDegree
1,6,4,0,25716,30,Male,50000-74999,BachelorDegree
1,7,6,1,26808,30,Male,50000-74999,BachelorDegree
1,8,3,0,18855,30,Male,50000-74999,BachelorDegree
1,9,8,1,9737,30,Male,50000-74999,BachelorDegree
1,10,4,1,29038,30,Male,50000-74999,BachelorDegree
1,11,5,1,14503,30,Male,50000-74999,BachelorDegree
1,12,6,1,11522,30,Male,50000-74999,BachelorDegree
1,13,2,1,31238,30,Male,50000-74999,BachelorDegree
1,14,1,1,24178,30,Male,50000-74999,BachelorDegree
1,15,2,1,29279,30,Male,50000-74999,BachelorDegree
1,16,4,1,32426,30,Male,50000-74999,BachelorDegree
1,17,6,1,18152,30,Male,50000-74999,BachelorDegree
1,18,1,0,29189,30,Male,50000-74999,BachelorDegree
1,19,3,1,11507,30,Male,50000-74999,BachelorDegree
1,20,2,0,13560,30,Male,50000-74999,BachelorDegree
1,21,3,0,20494,30,Male,50000-74999,BachelorDegree
1,22,7,1,31817,30,Male,50000-74999,BachelorDegree
1,23,6,1,31251,30,Male,50000-74999,BachelorDegree
1,24,3,1,36576,30,Male,50000-74999,BachelorDegree
1,25,2,0,79779,30,Male,50000-74999,BachelorDegree
1,26,2,1,15450,30,Male,50000-74999,BachelorDegree
1,27,1,0,25328,30,Male,50000-74999,BachelorDegree
1,28,5,1,77881,30,Male,50000-74999,BachelorDegree
1,29,5,0,20196,30,Male,50000-74999,BachelorDegree
1,30,1,0,17042,30,Male,50000-74999,BachelorDegree
1,31,4,1,38388,30,Male,50000-74999,BachelorDegree
1,32,4,0,67527,30,Male,50000-74999,BachelorDegree
1,33,2,0,56094,30,Male,50000-74999,BachelorDegree
1,34,2,0,6604,30,Male,50000-74999,BachelorDegree
1,35,1,0,46640,30,Male,50000-74999,BachelorDegree
1,36,2,1,25889,30,Male,50000-74999,BachelorDegree
2,1,1,0,34903,52,Male,100000+,BachelorDegree
2,2,3,0,13724,52,Male,100000+,BachelorDegree
2,3,8,0,9985,52,Male,100000+,BachelorDegree
2,4,5,0,13398,52,Male,100000+,BachelorDegree
2,5,2,0,19608,52,Male,100000+,BachelorDegree
2,6,1,1,6786,52,Male,100000+,BachelorDegree
2,7,6,1,15232,52,Male,100000+,BachelorDegree
2,8,3,0,17369,52,Male,100000+,BachelorDegree
2,9,7,0,13353,52,Male,100000+,BachelorDegree
2,10,8,0,11990,52,Male,100000+,BachelorDegree
